Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
40850.0,41950.0,40550.0,41400.0,36728.59765625,14460521,0.0,0.0
41400.0,43000.0,41000.0,42350.0,37571.41015625,14205190,0.0,0.0
42900.0,43350.0,41700.0,42400.0,37615.76171875,17621480,0.0,0.0
42450.0,42950.0,42150.0,42150.0,37393.9765625,13423132,0.0,0.0
43050.0,44250.0,42800.0,44150.0,39168.30078125,16517112,0.0,0.0
43750.0,43800.0,42900.0,43800.0,38857.79296875,9426777,0.0,0.0
43750.0,43800.0,42950.0,43750.0,38813.43359375,7713625,0.0,0.0
43600.0,44500.0,43400.0,44000.0,39035.22265625,11553998,0.0,0.0
44900.0,45050.0,44050.0,44050.0,39079.58984375,12617397,0.0,0.0
44450.0,44850.0,43900.0,44300.0,39301.375,7318500,0.0,0.0
43850.0,45250.0,43700.0,45200.0,40099.81640625,8552566,0.0,0.0
43900.0,44500.0,43400.0,44500.0,39478.8203125,9311126,0.0,0.0
44500.0,44500.0,43800.0,44100.0,39123.953125,6783344,0.0,0.0
44050.0,44350.0,43500.0,44250.0,39257.0234375,5864067,0.0,0.0
44600.0,44750.0,43700.0,44000.0,39035.22265625,7777124,0.0,0.0
44050.0,44250.0,43450.0,43650.0,38724.72265625,7538720,0.0,0.0
42450.0,43000.0,42100.0,42800.0,37970.63671875,9420664,0.0,0.0
41800.0,42300.0,41800.0,42100.0,37349.6171875,10769589,0.0,0.0
42000.0,42650.0,42000.0,42450.0,37660.12109375,5970796,0.0,0.0
42450.0,42600.0,41900.0,42400.0,37615.76171875,5192638,0.0,0.0
42150.0,42800.0,42100.0,42600.0,37793.203125,6613009,0.0,0.0
42900.0,43100.0,42500.0,43050.0,38192.421875,8367091,0.0,0.0
42800.0,43200.0,42750.0,43150.0,38281.140625,6943099,0.0,0.0
43850.0,43850.0,42900.0,43150.0,38281.140625,8473511,0.0,0.0
43450.0,44000.0,41750.0,41850.0,37127.83203125,19775519,0.0,0.0
42750.0,43400.0,42400.0,43250.0,38369.859375,12110702,0.0,0.0
42650.0,42900.0,41900.0,42150.0,37393.9765625,14347746,0.0,0.0
40900.0,41750.0,40850.0,41450.0,36772.96484375,12631983,0.0,0.0
40600.0,41100.0,40450.0,40500.0,35930.16015625,14251826,0.0,0.0
40900.0,41400.0,40850.0,40950.0,36329.37109375,11433083,0.0,0.0
40450.0,40650.0,40000.0,40200.0,35664.00390625,14892263,0.0,0.0
40600.0,40700.0,40200.0,40250.0,35708.35546875,10638766,0.0,0.0
40250.0,40700.0,40150.0,40450.0,35885.80078125,12024279,0.0,0.0
40650.0,40750.0,40000.0,40000.0,35486.56640625,26254646,0.0,0.0
40200.0,40200.0,38700.0,38950.0,34555.05078125,19671783,0.0,0.0
38650.0,39600.0,38650.0,39150.0,34732.484375,11532968,0.0,0.0
38300.0,39200.0,38300.0,38900.0,34510.6875,11042101,0.0,0.0
38900.0,39350.0,38850.0,39100.0,34688.125,9942037,0.0,0.0
38600.0,39100.0,38500.0,38650.0,34288.89453125,11937617,0.0,0.0
38200.0,38650.0,38100.0,38650.0,34288.89453125,14947080,0.0,0.0
38500.0,39050.0,38300.0,38800.0,34421.9765625,9729530,0.0,0.0
38400.0,38750.0,38300.0,38350.0,34022.74609375,12707675,0.0,0.0
38700.0,38800.0,38100.0,38250.0,34250.1875,10510643,354.0,0.0
38250.0,38900.0,38200.0,38700.0,34653.125,9900267,0.0,0.0
39400.0,39400.0,38550.0,38750.0,34697.90625,7847664,0.0,0.0
38300.0,38550.0,37450.0,37600.0,33668.15625,12471493,0.0,0.0
37450.0,37600.0,36850.0,37450.0,33533.84375,14108958,0.0,0.0
38000.0,38900.0,37800.0,38750.0,34697.90625,12748997,0.0,0.0
38000.0,39200.0,37950.0,38100.0,34115.87890625,12756554,0.0,0.0
38650.0,39600.0,38300.0,39600.0,35459.01953125,17452708,0.0,0.0
40000.0,40150.0,39600.0,39800.0,35638.109375,14731699,0.0,0.0
40350.0,40550.0,39950.0,40500.0,36264.91015625,11661063,0.0,0.0
40450.0,40700.0,39850.0,40050.0,35861.96484375,11984996,0.0,0.0
40050.0,41100.0,39850.0,41100.0,36802.16796875,11492756,0.0,0.0
41150.0,41450.0,40700.0,41450.0,37115.56640625,8491595,0.0,0.0
41700.0,42100.0,41450.0,41950.0,37563.28125,11736903,0.0,0.0
42000.0,42400.0,41950.0,42300.0,37876.67578125,11029256,0.0,0.0
42700.0,42750.0,41900.0,42750.0,38279.625,11355701,0.0,0.0
42750.0,42850.0,41850.0,42150.0,37742.36328125,9964356,0.0,0.0
41350.0,42250.0,41350.0,42000.0,37608.04296875,11071079,0.0,0.0
43050.0,43100.0,42350.0,43050.0,38548.24609375,14747623,0.0,0.0
44300.0,44750.0,43750.0,44750.0,40070.484375,22789395,0.0,0.0
45000.0,45500.0,44600.0,45050.0,40339.1171875,17998914,0.0,0.0
45050.0,45500.0,44350.0,45500.0,40742.05859375,16215017,0.0,0.0
44800.0,46400.0,44800.0,46400.0,41547.93359375,17505980,0.0,0.0
46650.0,47050.0,46150.0,46150.0,41324.08203125,21621145,0.0,0.0
46650.0,46950.0,46250.0,46350.0,41503.171875,13832454,0.0,0.0
46800.0,47100.0,46200.0,46200.0,41368.8515625,15872001,0.0,0.0
45700.0,45700.0,44650.0,44800.0,40115.25390625,12689196,0.0,0.0
44500.0,45000.0,44250.0,45000.0,40294.3359375,11125044,0.0,0.0
44650.0,46250.0,44650.0,46050.0,41234.5390625,13184367,0.0,0.0
46400.0,46700.0,46000.0,46200.0,41368.8515625,11299738,0.0,0.0
46600.0,47500.0,46150.0,47500.0,42532.91796875,17259341,0.0,0.0
46750.0,46850.0,45650.0,46050.0,41234.5390625,10554643,0.0,0.0
46500.0,46850.0,45850.0,46200.0,41368.8515625,8183728,0.0,0.0
45850.0,46150.0,45450.0,45950.0,41145.0,6741395,0.0,0.0
46750.0,47100.0,46500.0,46900.0,41995.6640625,11506720,0.0,0.0
46500.0,47200.0,46200.0,46950.0,42040.4296875,8694009,0.0,0.0
46500.0,47150.0,46450.0,47150.0,42219.515625,6895772,0.0,0.0
47400.0,47550.0,47050.0,47350.0,42398.60546875,7484716,0.0,0.0
47350.0,47450.0,46500.0,46750.0,41861.33984375,7985547,0.0,0.0
47000.0,47250.0,46750.0,46750.0,41861.33984375,8045211,0.0,0.0
